WAVE_INDEX	NODE_ID	HPG_ELAPSED_MS	HAPG_ELAPSED_MS
7	U03-0000000000_S04-0000000011	5778	0
7	U03-0000000000_S04-0000000012	5773	0
7	U03-0000000000_S04-0000000013	5864	0
7	U03-0000000000_S04-0000000014	5786	0
7	U03-0000000000_S04-0000000015	5767	0
7	U03-0000000001_S04-0000000000	5870	0
7	U03-0000000001_S04-0000000001	5836	0
7	U03-0000000001_S04-0000000002	5779	0
7	U03-0000000001_S04-0000000003	5841	0
7	U03-0000000001_S04-0000000004	5762	0
7	U03-0000000001_S04-0000000005	5769	0
7	U03-0000000001_S04-0000000006	5764	0
7	U03-0000000001_S04-0000000007	5842	0
7	U03-0000000001_S04-0000000008	5848	0
7	U03-0000000001_S04-0000000009	5770	0
7	U03-0000000001_S04-0000000010	5776	0
7	U03-0000000001_S04-0000000011	5985	0
7	U03-0000000001_S04-0000000012	5853	0
7	U03-0000000001_S04-0000000013	5894	0
7	U03-0000000001_S04-0000000014	5845	0
7	U03-0000000001_S04-0000000015	5771	0
7	U03-0000000002_S04-0000000000	5758	0
7	U03-0000000002_S04-0000000001	5754	0
7	U03-0000000002_S04-0000000002	5710	0
7	U03-0000000002_S04-0000000003	5766	0
7	U03-0000000002_S04-0000000004	5745	0
7	U03-0000000002_S04-0000000005	5749	0
7	U03-0000000002_S04-0000000006	5763	0
7	U03-0000000002_S04-0000000007	5816	0
7	U03-0000000002_S04-0000000008	5751	0
7	U03-0000000002_S04-0000000009	5748	0
7	U03-0000000002_S04-0000000010	5751	0
7	U03-0000000002_S04-0000000011	5771	0
7	U03-0000000002_S04-0000000012	5958	0
7	U03-0000000002_S04-0000000013	5952	0
7	U03-0000000002_S04-0000000014	5962	0
7	U03-0000000002_S04-0000000015	5776	0
7	U03-0000000003_S04-0000000000	5869	0
7	U03-0000000003_S04-0000000001	5666	0
7	U03-0000000003_S04-0000000002	5673	0
7	U03-0000000003_S04-0000000003	5668	0
7	U03-0000000003_S04-0000000004	5669	0
7	U03-0000000003_S04-0000000005	5680	0
7	U03-0000000003_S04-0000000006	5679	0
7	U03-0000000003_S04-0000000007	5673	0
7	U03-0000000003_S04-0000000008	5680	0
7	U03-0000000003_S04-0000000009	5673	0
7	U03-0000000003_S04-0000000010	5679	0
7	U03-0000000003_S04-0000000011	5683	0
7	U03-0000000003_S04-0000000012	5883	0
7	U03-0000000003_S04-0000000013	5706	0
7	U03-0000000003_S04-0000000014	5889	0
7	U03-0000000003_S04-0000000015	5760	0
7	U03-0000000004_S04-0000000000	5716	0
7	U03-0000000004_S04-0000000001	5722	0
7	U03-0000000004_S04-0000000002	5727	0
7	U03-0000000004_S04-0000000003	5704	0
7	U03-0000000004_S04-0000000004	5730	0
7	U03-0000000004_S04-0000000005	5700	0
7	U03-0000000004_S04-0000000006	5707	0
7	U03-0000000004_S04-0000000007	5723	0
7	U03-0000000004_S04-0000000008	5746	0
7	U03-0000000004_S04-0000000009	5710	0
7	U03-0000000004_S04-0000000010	5707	0
7	U03-0000000004_S04-0000000011	5723	0
7	U03-0000000004_S04-0000000012	5683	0
7	U03-0000000004_S04-0000000013	5698	0
7	U03-0000000004_S04-0000000014	5793	0
7	U03-0000000004_S04-0000000015	5713	0
7	U03-0000000005_S04-0000000000	5833	0
7	U03-0000000005_S04-0000000001	5807	0
7	U03-0000000005_S04-0000000002	5922	0
7	U03-0000000005_S04-0000000003	5914	0
7	U03-0000000005_S04-0000000004	5926	0
7	U03-0000000005_S04-0000000005	5684	0
7	U03-0000000005_S04-0000000006	5717	0
7	U03-0000000005_S04-0000000007	5710	0
7	U03-0000000005_S04-0000000008	5693	0
7	U03-0000000005_S04-0000000009	5715	0
7	U03-0000000005_S04-0000000010	5716	0
7	U03-0000000005_S04-0000000011	5717	0
7	U03-0000000005_S04-0000000012	5725	0
7	U03-0000000005_S04-0000000013	5720	0
7	U03-0000000005_S04-0000000014	5879	0
7	U03-0000000005_S04-0000000015	5706	0
7	U03-0000000006_S04-0000000000	5729	0
7	U03-0000000006_S04-0000000001	5831	0
7	U03-0000000006_S04-0000000002	5696	0
7	U03-0000000006_S04-0000000003	5721	0
7	U03-0000000006_S04-0000000004	5714	0
7	U03-0000000006_S04-0000000005	5673	0
7	U03-0000000006_S04-0000000006	5934	0
7	U03-0000000006_S04-0000000007	5689	0
7	U03-0000000006_S04-0000000008	5699	0
