LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET
D4	U07-0000000110_S08-0000000163	228	14	3	NA	NA
D4	U07-0000000110_S08-0000000164	229	14	4	NA	NA
D4	U07-0000000110_S08-0000000165	230	14	5	NA	NA
D4	U07-0000000110_S08-0000000166	231	14	6	NA	NA
D4	U07-0000000110_S08-0000000167	232	14	7	NA	NA
D4	U07-0000000110_S08-0000000168	233	14	8	NA	NA
D4	U07-0000000110_S08-0000000169	234	14	9	NA	NA
D4	U07-0000000110_S08-0000000170	235	14	10	NA	NA
D4	U07-0000000110_S08-0000000171	236	14	11	NA	NA
D4	U07-0000000110_S08-0000000172	237	14	12	NA	NA
D4	U07-0000000110_S08-0000000173	238	14	13	NA	NA
D4	U07-0000000110_S08-0000000174	239	14	14	NA	NA
D4	U07-0000000110_S08-0000000175	240	14	15	NA	NA
D4	U07-0000000111_S08-0000000163	244	15	3	NA	NA
D4	U07-0000000111_S08-0000000164	245	15	4	NA	NA
D4	U07-0000000111_S08-0000000165	246	15	5	NA	NA
D4	U07-0000000111_S08-0000000166	247	15	6	NA	NA
D4	U07-0000000111_S08-0000000167	248	15	7	NA	NA
D4	U07-0000000111_S08-0000000168	249	15	8	NA	NA
D4	U07-0000000111_S08-0000000169	250	15	9	NA	NA
D4	U07-0000000111_S08-0000000170	251	15	10	NA	NA
D4	U07-0000000111_S08-0000000171	252	15	11	NA	NA
D4	U07-0000000111_S08-0000000172	253	15	12	NA	NA
D4	U07-0000000111_S08-0000000173	254	15	13	NA	NA
D4	U07-0000000111_S08-0000000174	255	15	14	NA	NA
D4	U07-0000000111_S08-0000000175	256	15	15	NA	NA
D5	U08-0000000198_S09-0000000320	49	3	0	0	0
D5	U08-0000000198_S09-0000000321	49	3	0	0	1
D5	U08-0000000199_S09-0000000320	49	3	0	1	0
D5	U08-0000000199_S09-0000000321	49	3	0	1	1
D5	U08-0000000200_S09-0000000320	65	4	0	0	0
D5	U08-0000000200_S09-0000000321	65	4	0	0	1
D5	U08-0000000201_S09-0000000320	65	4	0	1	0
D5	U08-0000000201_S09-0000000321	65	4	0	1	1
D5	U08-0000000202_S09-0000000320	81	5	0	0	0
D5	U08-0000000202_S09-0000000321	81	5	0	0	1
D5	U08-0000000203_S09-0000000320	81	5	0	1	0
D5	U08-0000000203_S09-0000000321	81	5	0	1	1
D5	U08-0000000204_S09-0000000320	97	6	0	0	0
D5	U08-0000000204_S09-0000000321	97	6	0	0	1
D5	U08-0000000205_S09-0000000320	97	6	0	1	0
D5	U08-0000000205_S09-0000000321	97	6	0	1	1
D5	U08-0000000206_S09-0000000320	113	7	0	0	0
D5	U08-0000000206_S09-0000000321	113	7	0	0	1
D5	U08-0000000207_S09-0000000320	113	7	0	1	0
D5	U08-0000000207_S09-0000000321	113	7	0	1	1
D5	U08-0000000208_S09-0000000320	129	8	0	0	0
D5	U08-0000000208_S09-0000000321	129	8	0	0	1
D5	U08-0000000209_S09-0000000320	129	8	0	1	0
D5	U08-0000000209_S09-0000000321	129	8	0	1	1
D5	U08-0000000208_S09-0000000322	130	8	1	0	0
D5	U08-0000000208_S09-0000000323	130	8	1	0	1
D5	U08-0000000209_S09-0000000322	130	8	1	1	0
D5	U08-0000000209_S09-0000000323	130	8	1	1	1
D5	U08-0000000210_S09-0000000320	145	9	0	0	0
D5	U08-0000000210_S09-0000000321	145	9	0	0	1
D5	U08-0000000211_S09-0000000320	145	9	0	1	0
D5	U08-0000000211_S09-0000000321	145	9	0	1	1
D5	U08-0000000210_S09-0000000322	146	9	1	0	0
D5	U08-0000000210_S09-0000000323	146	9	1	0	1
D5	U08-0000000211_S09-0000000322	146	9	1	1	0
D5	U08-0000000211_S09-0000000323	146	9	1	1	1
D5	U08-0000000212_S09-0000000320	161	10	0	0	0
D5	U08-0000000212_S09-0000000321	161	10	0	0	1
D5	U08-0000000213_S09-0000000320	161	10	0	1	0
D5	U08-0000000213_S09-0000000321	161	10	0	1	1
D5	U08-0000000212_S09-0000000322	162	10	1	0	0
D5	U08-0000000212_S09-0000000323	162	10	1	0	1
D5	U08-0000000213_S09-0000000322	162	10	1	1	0
D5	U08-0000000213_S09-0000000323	162	10	1	1	1
D5	U08-0000000214_S09-0000000320	177	11	0	0	0
D5	U08-0000000214_S09-0000000321	177	11	0	0	1
D5	U08-0000000215_S09-0000000320	177	11	0	1	0
D5	U08-0000000215_S09-0000000321	177	11	0	1	1
D5	U08-0000000214_S09-0000000322	178	11	1	0	0
D5	U08-0000000214_S09-0000000323	178	11	1	0	1
D5	U08-0000000215_S09-0000000322	178	11	1	1	0
D5	U08-0000000215_S09-0000000323	178	11	1	1	1
D5	U08-0000000216_S09-0000000320	193	12	0	0	0
D5	U08-0000000216_S09-0000000321	193	12	0	0	1
D5	U08-0000000217_S09-0000000320	193	12	0	1	0
D5	U08-0000000217_S09-0000000321	193	12	0	1	1
D5	U08-0000000216_S09-0000000322	194	12	1	0	0
D5	U08-0000000216_S09-0000000323	194	12	1	0	1
D5	U08-0000000217_S09-0000000322	194	12	1	1	0
D5	U08-0000000217_S09-0000000323	194	12	1	1	1
D5	U08-0000000216_S09-0000000324	195	12	2	0	0
D5	U08-0000000216_S09-0000000325	195	12	2	0	1
D5	U08-0000000217_S09-0000000324	195	12	2	1	0
D5	U08-0000000217_S09-0000000325	195	12	2	1	1
D5	U08-0000000218_S09-0000000320	209	13	0	0	0
D5	U08-0000000218_S09-0000000321	209	13	0	0	1
D5	U08-0000000219_S09-0000000320	209	13	0	1	0
D5	U08-0000000219_S09-0000000321	209	13	0	1	1
D5	U08-0000000218_S09-0000000322	210	13	1	0	0
D5	U08-0000000218_S09-0000000323	210	13	1	0	1
D5	U08-0000000219_S09-0000000322	210	13	1	1	0
D5	U08-0000000219_S09-0000000323	210	13	1	1	1
D5	U08-0000000218_S09-0000000324	211	13	2	0	0
D5	U08-0000000218_S09-0000000325	211	13	2	0	1
D5	U08-0000000219_S09-0000000324	211	13	2	1	0
D5	U08-0000000219_S09-0000000325	211	13	2	1	1
D5	U08-0000000220_S09-0000000320	225	14	0	0	0
D5	U08-0000000220_S09-0000000321	225	14	0	0	1
D5	U08-0000000221_S09-0000000320	225	14	0	1	0
D5	U08-0000000221_S09-0000000321	225	14	0	1	1
D5	U08-0000000220_S09-0000000322	226	14	1	0	0
D5	U08-0000000220_S09-0000000323	226	14	1	0	1
D5	U08-0000000221_S09-0000000322	226	14	1	1	0
D5	U08-0000000221_S09-0000000323	226	14	1	1	1
D5	U08-0000000220_S09-0000000324	227	14	2	0	0
D5	U08-0000000220_S09-0000000325	227	14	2	0	1
D5	U08-0000000221_S09-0000000324	227	14	2	1	0
D5	U08-0000000221_S09-0000000325	227	14	2	1	1
D5	U08-0000000222_S09-0000000320	241	15	0	0	0
D5	U08-0000000222_S09-0000000321	241	15	0	0	1
D5	U08-0000000223_S09-0000000320	241	15	0	1	0
D5	U08-0000000223_S09-0000000321	241	15	0	1	1
D5	U08-0000000222_S09-0000000322	242	15	1	0	0
D5	U08-0000000222_S09-0000000323	242	15	1	0	1
D5	U08-0000000223_S09-0000000322	242	15	1	1	0
D5	U08-0000000223_S09-0000000323	242	15	1	1	1
D5	U08-0000000222_S09-0000000324	243	15	2	0	0
D5	U08-0000000222_S09-0000000325	243	15	2	0	1
D5	U08-0000000223_S09-0000000324	243	15	2	1	0
D5	U08-0000000223_S09-0000000325	243	15	2	1	1
