CELL_INDEX	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
160	9	15	U07-0000000105_S08-0000000175	7	105	8	175	e970aa6134de1fb55f54e619dd7c6e18e3e246e52dbb5716f90546e0ca542f12
161	10	0	U07-0000000106_S08-0000000160	7	106	8	160	d3d6286d3781e4a5b13a49ba94b7cab79dfb158555e70164e2468df3ad7989bc
162	10	1	U07-0000000106_S08-0000000161	7	106	8	161	d88957bbfa6168bd3d94b2ed4a65027e9f55648814a0d6a48e8597b1bc260b80
163	10	2	U07-0000000106_S08-0000000162	7	106	8	162	2a4ddb97d12c160ab3006e873d5fddb2e999addf646b587d13d3c1424ddd05ad
164	10	3	U07-0000000106_S08-0000000163	7	106	8	163	76725ecf8aba29e8094d95e8bbd0cbfa9dc731c837c4773ac3763330f20f847c
165	10	4	U07-0000000106_S08-0000000164	7	106	8	164	9e814deb2d9992646bfa6ba226db34f67c27215c5368ee86d5c0f2e447701cb4
166	10	5	U07-0000000106_S08-0000000165	7	106	8	165	9b2b43160729e5cb9cdb57c5a02cc4e3b5717786d18ced0b4d6881a9639d3210
167	10	6	U07-0000000106_S08-0000000166	7	106	8	166	be3b5736f613ac18f4d8fec7fcfd83675062199de7f97b0db88377994218e260
168	10	7	U07-0000000106_S08-0000000167	7	106	8	167	503eb71f2d8b894d11a0565e3f2f3cb6160c9b234ea803c821c1b91bea330c8e
169	10	8	U07-0000000106_S08-0000000168	7	106	8	168	4bc371538941043b142a7ebb6485b983dd67a06f8e4d8cc09fce2f02f328a24c
170	10	9	U07-0000000106_S08-0000000169	7	106	8	169	7a030074442e63ef5d0334079c9e7124d6a3e44c61769c1527ccf50b000d2f56
171	10	10	U07-0000000106_S08-0000000170	7	106	8	170	dd150c825cde8819f001d739f95c7853ecc9a47d2fe9abb8a41217d4b1322c6d
172	10	11	U07-0000000106_S08-0000000171	7	106	8	171	7ec2adfaab81a2b7453e996453f1d6f957d394f3be39433184af358a23b32a6a
173	10	12	U07-0000000106_S08-0000000172	7	106	8	172	2c239cc55be3f1f552398e379602a44bf92922d3759165e89028285423cb0947
174	10	13	U07-0000000106_S08-0000000173	7	106	8	173	e46aac01a926dd2c72fc9c4709ab3ecd3a68c008ae5934e5e9aba9b66c418acc
175	10	14	U07-0000000106_S08-0000000174	7	106	8	174	f8362f67d6cf6ae35784a85b6eba08319aa30797c341c4e229ff02baf9f1bb72
176	10	15	U07-0000000106_S08-0000000175	7	106	8	175	0e885cff5451d5a684d49658694f0457367a85ce1a1711076ce1f9cd7d7ba104
177	11	0	U07-0000000107_S08-0000000160	7	107	8	160	803719c0b2d053770726daa7e8a74e5a9a9e1a2009072df491f94fd794f4d694
178	11	1	U07-0000000107_S08-0000000161	7	107	8	161	bc41998f1b5b385d98b2e040ce2fa57a24e651325fd9c3affe222b3c40aeff85
179	11	2	U07-0000000107_S08-0000000162	7	107	8	162	75a86c8287a81063b3171702ac518ecca01918d72cd8e6bb488708fe6038f8d6
180	11	3	U07-0000000107_S08-0000000163	7	107	8	163	ad9b67dfd3897c93eb538d9db86d76b92fbac4a687e9951f8a8b0159ee701b43
181	11	4	U07-0000000107_S08-0000000164	7	107	8	164	5722408c7910be61f22105ed3b6d807fdc42f37a08614032f4ee3fdbad07ed54
182	11	5	U07-0000000107_S08-0000000165	7	107	8	165	c997faf4040158a441a90a577ce6b5a92d6039395cec5a18c09beeed7e33f72a
183	11	6	U07-0000000107_S08-0000000166	7	107	8	166	58744d7e516d0ce0fb5477f6c02e33409c5be42cb740155fa3998dba5ffd1627
184	11	7	U07-0000000107_S08-0000000167	7	107	8	167	1eec3a77b877ba6f56206fedfbca36dba429774e361b30aef2c09d6c6231a70f
185	11	8	U07-0000000107_S08-0000000168	7	107	8	168	b80740d2af81ef19b03ebc224ff0bbca6b6e4e54eaeaf70bbaa4fe68ae250deb
186	11	9	U07-0000000107_S08-0000000169	7	107	8	169	a0c20e2731a553daf8894e528316dd8c8557abd18ed1fa385f17c7c649fe1f8c
187	11	10	U07-0000000107_S08-0000000170	7	107	8	170	25b861e810a36478f1723d6ecf09e9f722175c2c8f0c3d2b886c1b7abae03255
