# engine	madaros-linux-x86_64@ff69dae4
# trees	stdlib examples tests/run-pass
file	rc	first_error_code	error_count	parse_errors	first_error_line	all_error_codes
examples/ekan_uq_baselines.sio	1	E035	3	0	811	E035x3
examples/ekan_wine_uci.sio	1	E035	1	0		E035x1
examples/epistemic/affine_nonassoc_demo.sio	0	none	0	0		
examples/epistemic/affine_nonassoc_n4_demo.sio	0	none	0	0		
examples/epistemic/autodiff_demo.sio	1	E137	10	0		E137x10
examples/epistemic/budget_demo.sio	1	E137	4	0		E137x4
examples/epistemic/causal_demo.sio	1	E137	23	0		E137x23
examples/epistemic/combine_demo.sio	1	E137	40	0		E137x40
examples/epistemic/core_demo.sio	1	E137	19	0		E137x19
examples/epistemic/correlation_demo.sio	1	E137	6	0		E137x6
examples/epistemic/coverage_demo.sio	1	E137	5	0		E137x5
examples/epistemic/dual_check_demo.sio	1	E137	9	0		E137x9
examples/epistemic/fusion_demo.sio	1	E137	14	0		E137x14
examples/epistemic/gum_demo.sio	1	E137	9	0		E137x9
examples/epistemic/gum_measurement_chain.sio	0	none	0	0		
examples/epistemic/gum_to_csv.sio	0	none	0	0		
examples/epistemic/gum_to_json.sio	0	none	0	0		
examples/epistemic/interval_ieee_demo.sio	1	E137	7	0		E137x7
examples/epistemic/invariants_demo.sio	1	E137	5	0		E137x5
examples/epistemic/knowledge_units.sio	0	none	0	0		
examples/epistemic/ledger_demo.sio	1	PARSE	0	2		PARSEx2
examples/epistemic/montecarlo_demo.sio	1	E137	5	0		E137x5
examples/epistemic/multivariate_demo.sio	1	E137	6	0		E137x6
examples/epistemic/pce_complete_demo.sio	1	PARSE	0	6	12	PARSEx6
examples/epistemic/pce_demo.sio	1	PARSE	0	3	7	PARSEx3
examples/epistemic/pce_test.sio	1	PARSE	0	12	4	PARSEx12
examples/epistemic/pk_curve_gum_to_csv.sio	0	none	0	0		
examples/epistemic/pk_example.sio	0	none	0	0		
examples/epistemic/policy_demo.sio	1	E137	5	0		E137x5
