LEAF_INDEX	LEAF_ID	X0_Q	Y0_Q	STEPS	EVENT1_TIME_Q	EVENT2_TIME_Q	X2_Q	Y2_Q	ELL2_Q	FLAGS	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD	REFERENCE_PASS
76	U07-0000000100_S08-0000000173	16585565901744	12031666458212	6744	2646990356224	7240336135616	12533761136334	7392752155138	-20282186569444	7	-2.8340141530300256e-11	-2.8340140043157883e-11	1.4871423732790332e-18	true	true
77	U07-0000000100_S08-0000000174	16583139147809	12032533460638	6744	2646993374272	7240339106816	12533759802218	7392750660325	-20282335815551	7	-2.8333873622402543e-11	-2.8333871953982126e-11	1.6684204165431842e-18	true	true
78	U07-0000000100_S08-0000000175	16580712393874	12033400463063	6744	2646996388992	7240342075392	12533758448961	7392749143228	-20282485076316	7	-2.832760600474914e-11	-2.8327604556282785e-11	1.4484663546669858e-18	true	true
79	U07-0000000101_S08-0000000161	16614640611203	12021211682892	6744	2646966911616	7240311884416	12533971612552	7392987985584	-20280346917507	7	-2.8414618743064599e-11	-2.8414617190601159e-11	1.5524634400785849e-18	true	true
80	U07-0000000101_S08-0000000162	16612213857269	12022078685317	6744	2646969952768	7240314875840	12533970718126	7392986983178	-20280496116871	7	-2.8408342301170927e-11	-2.840834092648464e-11	1.374686286891874e-18	true	true
81	U07-0000000101_S08-0000000163	16609787103334	12022945687742	6744	2646972992512	7240317866048	12533969780975	7392985933155	-20280645316038	7	-2.8402066745783427e-11	-2.8402065354645907e-11	1.3911375198706185e-18	true	true
82	U07-0000000101_S08-0000000164	16607360349399	12023812690168	6744	2646976030208	7240320854464	12533968810452	7392984845913	-20280794520955	7	-2.8395791836881238e-11	-2.8395790475018225e-11	1.3618630131498244e-18	true	true
83	U07-0000000101_S08-0000000165	16604933595464	12024679692593	6744	2646979066560	7240323841664	12533967796996	7392983710491	-20280943724919	7	-2.8389517837450164e-11	-2.838951628753486e-11	1.5499153037392668e-18	true	true
84	U07-0000000101_S08-0000000166	16602506841529	12025546695019	6744	2646982100544	7240326826816	12533966753436	7392982541536	-20281092936807	7	-2.8383244397799986e-11	-2.8383242792129067e-11	1.6056709185587406e-18	true	true
85	U07-0000000101_S08-0000000167	16600080087594	12026413697444	6744	2646985132096	7240329809856	12533965680881	7392981339737	-20281242156087	7	-2.8376971524409547e-11	-2.8376969988734099e-11	1.5356754476553032e-18	true	true
86	U07-0000000101_S08-0000000168	16597653333659	12027280699869	6744	2646988162432	7240332791808	12533964564515	7392980088863	-20281391374662	7	-2.837069956144078e-11	-2.8370697877283197e-11	1.6841575826269681e-18	true	true
87	U07-0000000101_S08-0000000169	16595226579724	12028147702295	6744	2646991189440	7240335771008	12533963429337	7392978816568	-20281540607973	7	-2.8364427880822389e-11	-2.8364426457709595e-11	1.4231127939096182e-18	true	true
88	U07-0000000101_S08-0000000170	16592799825789	12029014704720	6744	2646994215488	7240338749312	12533962247066	7392977491730	-20281689837986	7	-2.8358157206618032e-11	-2.8358155729946528e-11	1.4766715042638564e-18	true	true
89	U07-0000000101_S08-0000000171	16590373071854	12029881707146	6744	2646997239872	7240341726016	12533961025834	7392976123851	-20281839070219	7	-2.8351887318906122e-11	-2.8351885693927212e-11	1.6249789102558166e-18	true	true
90	U07-0000000101_S08-0000000172	16587946317919	12030748709571	6744	2647000260800	7240344699904	12533959787691	7392974736449	-20281988317950	7	-2.834561767765415e-11	-2.8345616349584864e-11	1.3280692859317035e-18	true	true
91	U07-0000000101_S08-0000000173	16585519563984	12031615711996	6744	2647003281216	7240347673216	12533958497568	7392973290397	-20282137559123	7	-2.8339349175096602e-11	-2.8339347696852695e-11	1.4782439067536601e-18	true	true
92	U07-0000000101_S08-0000000174	16583092810049	12032482714422	6744	2647006299904	7240350645120	12533957168841	7392971801626	-20282286803087	7	-2.8333081441154435e-11	-2.8333079735663906e-11	1.7054905286194452e-18	true	true
93	U07-0000000101_S08-0000000175	16580666056114	12033349716847	6744	2647009315648	7240353614464	12533955816453	7392970286138	-20282436058426	7	-2.8326814120395359e-11	-2.8326812465951691e-11	1.6544436685174979e-18	true	true
94	U07-0000000102_S08-0000000161	16614594273443	12021160936676	6744	2646979831424	7240323418496	12534168867794	7393209001827	-20280297925496	7	-2.8413824974200078e-11	-2.8413823296357108e-11	1.6778429698412693e-18	true	true
95	U07-0000000102_S08-0000000162	16612167519508	12022027939101	6744	2646982873536	7240326410688	12534167974365	7393208001601	-20280447120197	7	-2.8407548806699739e-11	-2.840754716022791e-11	1.6464718284551175e-18	true	true
96	U07-0000000102_S08-0000000163	16609740765573	12022894941526	6744	2646985913728	7240329401280	12534167046201	7393206961520	-20280596319121	7	-2.8401273343824363e-11	-2.8401271716376678e-11	1.6274476857239436e-18	true	true
97	U07-0000000102_S08-0000000164	16607314011638	12023761943952	6744	2646988950848	7240332389312	12534166096464	7393205896813	-20280745530739	7	-2.8394998242144046e-11	-2.8394996964736681e-11	1.2774073653138003e-18	true	true
98	U07-0000000102_S08-0000000165	16604887257703	12024628946377	6744	2646991987712	7240335376896	12534165091307	7393204770655	-20280894733824	7	-2.8388724357566751e-11	-2.8388722905241179e-11	1.4523255722772005e-18	true	true
99	U07-0000000102_S08-0000000166	16602460503768	12025495948803	6744	2646995021248	7240338361728	12534164066095	7393203622323	-20281043951057	7	-2.8382450778461557e-11	-2.8382449537823427e-11	1.2406381304918326e-18	true	true
