LEAF_INDEX	STEPS	EVENT1_TIME	EVENT2_TIME	X2	Y2	ELL2	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD
120	6744	2.4074562240275554	6.5850761339534074	11.399928971854024	6.724273544650714	-18.446271789192906	-2.8344032776961628e-11	-2.8344031364756009e-11	1.4122056194330624e-18	true
121	6744	2.4074589717201889	6.5850788387469947	11.399927816090894	6.7242722493037945	-18.446407523841117	-2.8337764415240242e-11	-2.8337762968004751e-11	1.4472354905284613e-18	true
122	6744	2.4074617174919695	6.5850815419107676	11.399926627954301	6.7242709187112268	-18.446543262711202	-2.8331496743404418e-11	-2.8331495262797198e-11	1.4806072199248609e-18	true
123	6744	2.4074644618667662	6.5850842439103872	11.399925405583417	6.7242695483164425	-18.446679003893223	-2.8325229849095977e-11	-2.8325228249066547e-11	1.6000294304588553e-18	true
124	6744	2.4074404014390893	6.5850594938965514	11.400118170640781	6.7244855332110092	-18.444870118661129	-2.8405961072207375e-11	-2.8405959591397767e-11	1.4808096077562979e-18	true
125	6744	2.4074431673507206	6.5850622145226225	11.400117340479483	6.7244846034755028	-18.445005812122872	-2.8399685863014057e-11	-2.8399684403528842e-11	1.4594852146821076e-18	true
126	6744	2.4074459319235757	6.5850649340427481	11.400116473340859	6.724483631926887	-18.44514150703526	-2.8393411478289307e-11	-2.8393409907871514e-11	1.5704177927084833e-18	true
127	6744	2.4074486941681243	6.5850676515838131	11.400115580549027	6.7244826317837578	-18.445277209705637	-2.8387137620314723e-11	-2.8387136104359041e-11	1.5159556815718892e-18	true
128	6744	2.4074514554231428	6.5850703681935556	11.400114646956354	6.7244815857557114	-18.445412910465166	-2.8380864719726324e-11	-2.8380862992924679e-11	1.7268016447985692e-18	true
129	6744	2.4074542135349475	6.5850730821839534	11.400113697447523	6.7244805216541863	-18.445548625712945	-2.8374592057997571e-11	-2.8374590573501665e-11	1.4844959058443978e-18	true
130	6744	2.4074569702497683	6.5850757948355749	11.400112711593465	6.7244794171529065	-18.445684341358174	-2.8368320239724151e-11	-2.8368318846023244e-11	1.3937009073524806e-18	true
131	6744	2.407459726149682	6.5850785068469122	11.400111682080933	6.7244782634916191	-18.445820054407704	-2.8362049427444373e-11	-2.836204781042264e-11	1.6170217332622634e-18	true
132	6744	2.4074624798959121	6.5850812169373967	11.400110625296293	6.7244770793295174	-18.445955773775495	-2.835577919959976e-11	-2.8355777466633083e-11	1.7329666768338894e-18	true
133	6744	2.407465230091475	6.5850839240010828	11.400109557890573	6.7244758833412561	-18.446091510621955	-2.8349509070308745e-11	-2.8349507814587787e-11	1.2557209579369959e-18	true
134	6744	2.4074679817422293	6.5850866322871298	11.400108419841672	6.7244746077485615	-18.446227227516829	-2.8343240714427454e-11	-2.8343238854219958e-11	1.8602074954529631e-18	true
135	6744	2.4074707280960865	6.5850893359747715	11.400107290704	6.7244733432953581	-18.446362973410032	-2.8336971925542509e-11	-2.833697058546281e-11	1.3400796996255549e-18	true
136	6744	2.4074734739260748	6.5850920392549597	11.400106116482675	6.7244720268836318	-18.44649871517413	-2.833070420727337e-11	-2.833070300824953e-11	1.1990238403282005e-18	true
137	6744	2.4074762198142707	6.5850947424769402	11.400104886346526	6.7244706492101614	-18.446634446783719	-2.8324437823229857e-11	-2.8324436122513311e-11	1.7007165461869749e-18	true
138	6744	2.4074521535658278	6.5850699881557375	11.400297557595877	6.724686528015809	-18.444825584379032	-2.8405167266674887e-11	-2.8405165788825177e-11	1.4778497099553388e-18	true
139	6744	2.4074549206998199	6.5850727099459618	11.400296725163571	6.7246855957118896	-18.444961271760803	-2.8398892422373737e-11	-2.8398890728951056e-11	1.693422680802984e-18	true
140	6744	2.4074576853890903	6.5850754295825027	11.400295869359979	6.7246846364605517	-18.445096968188409	-2.839261805039713e-11	-2.8392616361288713e-11	1.6891084169206371e-18	true
141	6744	2.407460447284393	6.5850781467743218	11.400294993723946	6.7246836555277696	-18.445232675805528	-2.8386344046179485e-11	-2.8386342685771408e-11	1.3604080767693518e-18	true
142	6744	2.4074632092379034	6.5850808640243486	11.400294063350884	6.7246826134596631	-18.445368373871133	-2.8380071356037902e-11	-2.8380069702332389e-11	1.6537055132183709e-18	true
143	6744	2.4074659679317847	6.5850835784804076	11.400293119691923	6.7246815559565221	-18.445504086950677	-2.837379886486077e-11	-2.8373797410904896e-11	1.4539558741787086e-18	true
144	6744	2.4074687261600047	6.585086292529013	11.400292128504589	6.7246804448222974	-18.445639794396811	-2.8367527506187846e-11	-2.836752581142217e-11	1.6947656763821235e-18	true
145	6744	2.4074714808375575	6.5850890034926124	11.400291125716649	6.7246793214908394	-18.445775518309347	-2.8361256280231706e-11	-2.8361254903817435e-11	1.3764142704226715e-18	true
146	6744	2.4074742351658642	6.5850917141069658	11.400290074813711	6.7246781439043843	-18.445911236606662	-2.8354986191771065e-11	-2.8354984688023917e-11	1.5037471484278086e-18	true
147	6744	2.4074769871076569	6.5850944226840511	11.400288998220276	6.724676937627919	-18.446046962484616	-2.8348716635637406e-11	-2.834871516397483e-11	1.4716625766880269e-18	true
148	6744	2.4074797367211431	6.5850971292238683	11.400287897031376	6.7246757038128635	-18.446182696836331	-2.8342447575870376e-11	-2.8342446331603381e-11	1.2442669944573226e-18	true
149	6744	2.4074824864510447	6.5850998358218931	11.400286740766205	6.724674408114879	-18.446318420655189	-2.833617986219829e-11	-2.8336178190842771e-11	1.6713555183128123e-18	true
150	6744	2.4074852325720713	6.5851025393349119	11.400285573741712	6.7246731009645373	-18.446454162022746	-2.8329912243443534e-11	-2.8329910741626198e-11	1.5018173360587224e-18	true
151	6744	2.4074879767140374	6.5851052411599085	11.400284378101787	6.724671761035097	-18.446589908759051	-2.8323645254247373e-11	-2.8323643983886844e-11	1.27036052966493e-18	true
152	6744	2.40746390708955	6.5850804845686071	11.400476924799477	6.7248875006007438	-18.444781050909114	-2.840437374101076e-11	-2.8404371974148125e-11	1.7668626351746688e-18	true
153	6744	2.4074666735250503	6.5850832058349624	11.40047611422051	6.724886591802715	-18.444916746467243	-2.8398098616541109e-11	-2.839809704227124e-11	1.5742698694235662e-18	true
154	6744	2.4074694383889437	6.5850859255879186	11.400475268117589	6.7248856440910458	-18.445052443400527	-2.8391824296330386e-11	-2.8391822802606321e-11	1.4937240652361844e-18	true
