sample	kpc_before_rc	kpc_after_rc	kpc_before_cpu	kpc_after_cpu	kpc_accepted	thread_before_rc	thread_after_rc	thread_cycles_delta	thread_instructions_delta	absolute_time_delta	uptime_raw_delta
229	-1	-1	-1	-1	0	88	88	1326	4612	3	83
230	-1	-1	-1	-1	0	88	88	1345	4612	2	83
231	-1	-1	-1	-1	0	88	88	1336	4612	2	84
232	-1	-1	-1	-1	0	88	88	1328	4612	3	125
233	-1	-1	-1	-1	0	88	88	1332	4612	3	83
234	-1	-1	-1	-1	0	88	88	1329	4612	2	83
235	-1	-1	-1	-1	0	88	88	1325	4612	3	125
236	-1	-1	-1	-1	0	88	88	1324	4612	3	83
237	-1	-1	-1	-1	0	88	88	1331	4612	3	125
238	-1	-1	-1	-1	0	88	88	1318	4612	3	125
239	-1	-1	-1	-1	0	88	88	1335	4612	3	84
240	-1	-1	-1	-1	0	88	88	1332	4612	3	83
241	-1	-1	-1	-1	0	88	88	1333	4612	3	83
242	-1	-1	-1	-1	0	88	88	1335	4612	3	125
243	-1	-1	-1	-1	0	88	88	1327	4612	3	125
244	-1	-1	-1	-1	0	88	88	1334	4612	3	83
245	-1	-1	-1	-1	0	88	88	1333	4612	3	125
246	-1	-1	-1	-1	0	88	88	1328	4612	3	125
247	-1	-1	-1	-1	0	88	88	1326	4612	3	84
248	-1	-1	-1	-1	0	88	88	1342	4612	3	83
249	-1	-1	-1	-1	0	88	88	1337	4612	3	83
250	-1	-1	-1	-1	0	88	88	1330	4612	3	83
251	-1	-1	-1	-1	0	88	88	1332	4612	3	84
252	-1	-1	-1	-1	0	88	88	1339	4612	3	125
253	-1	-1	-1	-1	0	88	88	1328	4612	3	83
254	-1	-1	-1	-1	0	88	88	1324	4612	3	83
255	-1	-1	-1	-1	0	88	88	1327	4612	3	83
256	-1	-1	-1	-1	0	88	88	1322	4612	3	125
257	-1	-1	-1	-1	0	88	88	1600	4612	3	125
258	-1	-1	-1	-1	0	88	88	1341	4612	2	83
259	-1	-1	-1	-1	0	88	88	1337	4611	3	83
260	-1	-1	-1	-1	0	88	88	1336	4611	3	83
261	-1	-1	-1	-1	0	88	88	1342	4611	2	83
262	-1	-1	-1	-1	0	88	88	1335	4611	3	84
263	-1	-1	-1	-1	0	88	88	1357	4612	2	83
264	-1	-1	-1	-1	0	88	88	1354	4612	2	84
265	-1	-1	-1	-1	0	88	88	1331	4612	3	125
266	-1	-1	-1	-1	0	88	88	1329	4612	3	125
267	-1	-1	-1	-1	0	88	88	1339	4612	3	83
268	-1	-1	-1	-1	0	88	88	1334	4612	3	83
269	-1	-1	-1	-1	0	88	88	1323	4612	3	125
270	-1	-1	-1	-1	0	88	88	1331	4612	2	84
271	-1	-1	-1	-1	0	88	88	1326	4612	3	125
272	-1	-1	-1	-1	0	88	88	1335	4612	3	83
273	-1	-1	-1	-1	0	88	88	1334	4612	3	83
274	-1	-1	-1	-1	0	88	88	1332	4612	3	83
275	-1	-1	-1	-1	0	88	88	1327	4612	3	84
276	-1	-1	-1	-1	0	88	88	1337	4612	3	84
277	-1	-1	-1	-1	0	88	88	1322	4612	2	83
278	-1	-1	-1	-1	0	88	88	1335	4612	2	83
279	-1	-1	-1	-1	0	88	88	1506	4611	3	125
280	-1	-1	-1	-1	0	88	88	1352	4611	2	83
281	-1	-1	-1	-1	0	88	88	1340	4611	3	84
282	-1	-1	-1	-1	0	88	88	1515	4612	3	125
283	-1	-1	-1	-1	0	88	88	1360	4612	3	84
284	-1	-1	-1	-1	0	88	88	1327	4612	2	83
285	-1	-1	-1	-1	0	88	88	1337	4612	3	125
286	-1	-1	-1	-1	0	88	88	1323	4612	3	84
287	-1	-1	-1	-1	0	88	88	1330	4612	3	125
288	-1	-1	-1	-1	0	88	88	1341	4612	3	83
289	-1	-1	-1	-1	0	88	88	1371	4611	3	83
290	-1	-1	-1	-1	0	88	88	1351	4611	3	83
291	-1	-1	-1	-1	0	88	88	1321	4612	3	83
292	-1	-1	-1	-1	0	88	88	1328	4612	3	83
293	-1	-1	-1	-1	0	88	88	1327	4612	3	83
294	-1	-1	-1	-1	0	88	88	1334	4612	2	84
295	-1	-1	-1	-1	0	88	88	1331	4612	3	125
296	-1	-1	-1	-1	0	88	88	1321	4612	3	83
297	-1	-1	-1	-1	0	88	88	1326	4612	3	83
298	-1	-1	-1	-1	0	88	88	1325	4612	3	83
299	-1	-1	-1	-1	0	88	88	1352	4611	3	83
300	-1	-1	-1	-1	0	88	88	1351	4611	3	84
301	-1	-1	-1	-1	0	88	88	1335	4611	3	83
302	-1	-1	-1	-1	0	88	88	1357	4612	3	125
303	-1	-1	-1	-1	0	88	88	1331	4612	3	83
304	-1	-1	-1	-1	0	88	88	1331	4612	3	83
