STEP	TIME_START_RAW	TIME_END_RAW	STEP_RAW	STEP_BITS	CENTER_X_RAW	CENTER_Y_RAW	CENTER_W_RAW	CENTER_ELL_RAW	RADIUS_RAW	LOCAL_RADIUS_RAW	MU_RAW	MU_H_RAW	AMPLIFICATION_RAW	PICARD_ITERATIONS	CONTRACTION_RAW	BEFORE_SIGN	AFTER_SIGN	EVENT_INDEX
34	809157645577189317213207230335363248950694256512941948928	833677574231043538946940782769768195888594082467879583744	24519928653854221733733552434404946937899825954937634816	8	169864832756875959109580336719527255736010840724682322254975	97387496838416876028292927130481202241277934533854830292569	216199031436265487493924175617341046037382834162478191552375	-10151424228205721905996446142339823963101753367479774806101	3933460480	300701207	261538923433680309423191881220643482815641959367708187280236	1021636419662813708684343286018138604748601403780110106564	7386577031977117135002199777673650418758939925297575085968	64	1252912473157818541139940923594516615270946545152967168024	1	1	0
35	833677574231043538946940782769768195888594082467879583744	858197502884897760680674335204173142826493908422817218560	24519928653854221733733552434404946937899825954937634816	8	171292240241908912396177493384416927254449313106916718246269	96794881743904513630834344455288749413083227723302398517461	225098383771615940617026563245102689799637349076228234082795	-10593578524512989029927879409759231729610731376868524919861	5269725286	638037080	262576660720870107056768064761629408134089773091146728187837	1025690080940898855690500252975114875523788176137291906984	7391348716890156688240541944661313333057892466372667629863	64	1238565044668782894655798042708414548615095382696002709660	1	1	0
36	858197502884897760680674335204173142826493908422817218560	882717431538751982414407887638578089764393734377754853376	24519928653854221733733552434404946937899825954937634816	8	172547126924992094444069404961078694312012522995998049555159	96020328745791378467742281591762587123668730515925323010034	233971022596201457751722780396978887954333659639943825646145	-11045182211596951511800169500095996503196860264455147208175	7491079914	1283261145	263266838646673870939735273046045592226619121332802134351707	1028386088463569808358340910336115594635230942706258337312	7394523973965112841797894114303689884071834880390521014473	65	1221414720615678342804664956611336674945517232559328735918	1	1	0
37	882717431538751982414407887638578089764393734377754853376	907237360192606204148141440072983036702293560332692488192	24519928653854221733733552434404946937899825954937634816	8	173618363048849803291039994317993287612608921523039443385683	95058980361671875490059254233000696416251923896794253128556	242785484745672901057152662617076515895344051751879862273187	-11506127933559024616489042152309042563420169501878992313281	11234874886	2408482162	263591572220792821815879411290063490634951176823988496469090	1029654578987471960218278950351810510292778034468705064333	7396018426628585763894489406859943445726300879018472486456	64	1201384831265487491775945324211756290161784045348573342487	1	1	0
38	907237360192606204148141440072983036702293560332692488192	931757288846460425881874992507387983640193386287630123008	24519928653854221733733552434404946937899825954937634816	8	174496233000881311672876488008000434420526378250476015254508	93907731323695962610308788506032972457792635081731276542230	251509272513622076766353364510511752908178987877183759407984	-11976270990688599768867564462921738583009016494109889094440	17428027974	4190953816	263535865111202832003345962817381821550134911120281153388764	1029436973090636062513070167255397740430214496563598255425	7395762036116788938537924181523784706565089437765565477638	65	1178423979529334274059594831435490482202094859322501934408	1	1	0
39	931757288846460425881874992507387983640193386287630123008	956277217500314647615608544941792930578093212242567757824	24519928653854221733733552434404946937899825954937634816	8	175172730476326600764871681012523967552305452473569196458616	92565442480508128198986328407001481955697143621785926439055	260109297147622817600621689273371522394254960024735025614814	-12455428909320234755033435042602431510594448659226363020100	27392164401	6863957806	263088151303056234852175542025772944671707588509706152082934	1027688091027563417391310711038175565123857767616039656574	7393701767788176022488141880211366057512699939366307764550	64	1152509467256244146010419744229061706420009309311899216120	1	1	0
40	956277217500314647615608544941792930578093212242567757824	980797146154168869349342097376197877515993038197505392640	24519928653854221733733552434404946937899825954937634816	8	175641833020693088780491250423902829111381705234763438533546	91033121206356179355802003927171519070638178797036969354738	268552371944943757872842809929906329672305135211511444846591	-12943381585096311403958134449451984722800022517249983754380	42803952934	10556152080	262240796951763736500914311256643401322392987190019980605559	1024378113092827095706696528346263286415597606211015549241	7389804023343714245931564708405073975941674218166846556773	65	1123650320024273594648671722745932856254944733051117392286	1	1	0
41	980797146154168869349342097376197877515993038197505392640	1005317074808023091083075649810602824453892864152443027456	24519928653854221733733552434404946937899825954937634816	8	175899742561177113738812780303972276602473857526916903735762	89314057099255650071907732039632893579052518528676326763467	276805741439692876625960385039431848427887116693616017145529	-13439872037589295448557151686893370845075203533956025262449	66995245483	16642622479	260999289522292756567730364537690029471971158237657332965454	1019528474696456080342696736475351677624887336865848956897	7384096925007589519913769123030708933125470357515581912674	83	1092439873771423280709594357355125038072030533111103224223	1	1	0
42	1005317074808023091083075649810602824453892864152443027456	1029837003461877312816809202245007771391792690107380662272	24519928653854221733733552434404946937899825954937634816	8	175945078713586289152482156639042714940909401936519201822193	87413902685237486380672752681061128908263376863371981407573	284837629955284865832567687482088033186318888852993876885057	-13944607794606612605789461826144513539159936718709355067276	104630565614	25900670156	259361881980269726574178095418236785482324511742572935799946	1013132351485428619430383185227487443290330123994425530469	7376576648718749164572663960541725436124983491342668305141	82	1062172208793137062897850290096297337166129775904300800101	1	1	0
43	1029837003461877312816809202245007771391792690107380662272	1054356932115731534550542754679412718329692516062318297088	24519928653854221733733552434404946937899825954937634816	8	175779012776610596790231896940620019073165345335404955957983	85340690626243977482318213993967855440668739974420652760775	292617790317503641715964333615773504877460358856547371670911	-14457262902038131931140446136421892952741411354330990402197	162005640127	39203850546	257328414544348600541390542939731227108635978641909035095485	1005189119313861720864806808358325105893109291569957168342	7367248011739145021813140313650360035315166563190011986769	81	1054228976621570164332273913227134999768908943479832437974	1	1	0
44	1054356932115731534550542754679412718329692516062318297088	1078876860769585756284276307113817665267592342017255931904	24519928653854221733733552434404946937899825954937634816	8	175405332436353261065812229082679852578899903789224643124539	83104781525681186079195651469670005155197811319106923556729	300118032082359251723775492156248903130702039180012202091991	-14977480531019721897729590650585927128464366350225579537023	243858381107	54003101916	254910097678650242815549044571846239600951974465136452199111	995742569057227510998238455358774373441218650254439266403	7356169214517874387744676100715278605143692482578609445266	82	1044782426364935954465705560227584267317018302164314536035	1	1	0
45	1078876860769585756284276307113817665267592342017255931904	1103396789423439978018009859548222612205492167972193566720	24519928653854221733733552434404946937899825954937634816	8	174830430237624646946499772479296326249483333146436070264106	80718739716980293783920838124877080156917568549769086271582	307312708458305789562444279168464687094875351233427577415373	-15504876129960378995464240880435927674929790792250353572647	356971152985	71667905641	252233012226647766381172091129300647643023888339542336831258	985285204010342837426453480973830654855562063826337253248	7343924374796198264134662423795987489502208067594388881970	76	1034325061318051280893920585842640548731361715736212522880	1	1	0
46	1103396789423439978018009859548222612205492167972193566720	1127916718077294199751743411982627559143391993927131201536	24519928653854221733733552434404946937899825954937634816	8	174063212663885694645476357351501288872469810631759842462346	78197138195335140183330552883754837959485240094315479538977	314179142315807100764867040200389970028436247729821359701064	-16039041046251918134126399415729702314181735903594942985900	505645275539	88774049587	249272068219218259966584821181124196315327074927642152229434	973719016481321327994471957738766391856746386436102157147	7330404919193041883351445028816429870828409917279285515340	75	1022758873789029771461939062607576285732546038345977426779	1	1	0
47	1127916718077294199751743411982627559143391993927131201536	1152436646731148421485476964417032506081291819882068836352	24519928653854221733733552434404946937899825954937634816	8	173114930934667811879291143385534864206708604958973493474568	75556297824137047189948461360926336069771611887468108910137	320697974266051307522149074513838919947558194853199946742766	-16579546522881664596248608797388079642606936595171590386302	687863621294	98577913497	245983249123834154064971120812206916740881223957809665940177	960872066889977164316293440672683268519067281085194007579	7315417582229731747117538249532402313526006608532396534447	74	1009911924197685607783760545541493162394866932995069277211	1	1	0
48	1152436646731148421485476964417032506081291819882068836352	1176956575385002643219210516851437453019191645837006471168	24519928653854221733733552434404946937899825954937634816	8	171998939032279962466019551808949914478724083249817140752216	72813969781395101347370639565085600896206900217736082569035	326853419597946453095870571149266925125915508229850703228292	-17125947960155809899374472862276898399332260063700435893756	898074679611	98217785749	242394127023418178305403815323411990185406390078540383015069	946852058685227259005483653607078086661743711244298371153	7299096712043680594292293224089648364629304002566421486306	74	995891915992935702472950758475887980537543363154173640785	1	1	0
49	1176956575385002643219210516851437453019191645837006471168	1201476504038856864952944069285842399957091471791944105984	24519928653854221733733552434404946937899825954937634816	8	170730388625999121781288899996329468593473331945496325124716	69988973564762608814790720020453794653216413925079819215020	332633425597915736481477452257782041078231060693207839744348	-17677789323430121385010527570894789038328782241466175522756	1130014087972	88225382210	238535807078288383049554401950986305283857156700072426068249	931780496399563996287321882621040255015067018359657914330	7281592323342059158260276247405459632603203594573236802747	73	980820353707272439754788987489850148890866670269533183962	1	1	0
