ATTEMPT_INDEX	ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	MANIFEST_ROW_SHA256	CELL_CHALLENGE	LIOUVILLE_CARRIER	ATTEMPT_BINDING
85	29	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000004_S03-0000000004	3	4	3	4	def4259198b524b84f052c55441a1e0a2aff8235c1da6b19c6821bc407a4473b	7b96fdee779ce448ac2238b371e11e261e7bb8252bad2f71e710f34f41b5919e	a61b10aca88d1e55608adb49392700e19b2465c2431754f3049ab20e5d64ff2b	C0HOTripletonSet	358a338c8d4e5aa73d1d7119b931c4c92099485ca2fd77446312a2583998af0a
86	29	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000004_S03-0000000004	3	4	3	4	def4259198b524b84f052c55441a1e0a2aff8235c1da6b19c6821bc407a4473b	7b96fdee779ce448ac2238b371e11e261e7bb8252bad2f71e710f34f41b5919e	a61b10aca88d1e55608adb49392700e19b2465c2431754f3049ab20e5d64ff2b	C0HORect2Set	e845aba46cfa0308f8456ad028b793c44bc2a2316b6a8b75e01330d523ed87cd
87	29	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000004_S03-0000000004	3	4	3	4	def4259198b524b84f052c55441a1e0a2aff8235c1da6b19c6821bc407a4473b	7b96fdee779ce448ac2238b371e11e261e7bb8252bad2f71e710f34f41b5919e	a61b10aca88d1e55608adb49392700e19b2465c2431754f3049ab20e5d64ff2b	C0Rect2Set	59d0a0857563ce333abcd84f58239dd7d99d50d80bba57aad28747c3a909f4f7
88	30	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000006_S03-0000000006	3	6	3	6	c2e49c8257619c17df5e17b6a916bf252faa2ef9a9279e1248bca3e219c64aa1	bbddfac583d01a89899b568ffb49a15bc3ffe6ff310927fdec56672caca64ea9	634fc7c0dea6897082a9b348b0d19f7fcb9b547ef290cd5d9248b18264c6c187	C0HOTripletonSet	b7a5f111f372b89eedc4f163b8ec8d5ccab4f86ae634460ec974c959bbb1ecf5
89	30	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000006_S03-0000000006	3	6	3	6	c2e49c8257619c17df5e17b6a916bf252faa2ef9a9279e1248bca3e219c64aa1	bbddfac583d01a89899b568ffb49a15bc3ffe6ff310927fdec56672caca64ea9	634fc7c0dea6897082a9b348b0d19f7fcb9b547ef290cd5d9248b18264c6c187	C0HORect2Set	61ae0218e639684602a77a97b1eca4a529f929960b2ac3ee7ec99188426d922b
90	30	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S3	U03-0000000006_S03-0000000006	3	6	3	6	c2e49c8257619c17df5e17b6a916bf252faa2ef9a9279e1248bca3e219c64aa1	bbddfac583d01a89899b568ffb49a15bc3ffe6ff310927fdec56672caca64ea9	634fc7c0dea6897082a9b348b0d19f7fcb9b547ef290cd5d9248b18264c6c187	C0Rect2Set	67f4d03256ac9960f33a932bea45eeab03828117513ae56cc0b511952615170f
91	31	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S4	U03-0000000002_S04-0000000013	3	2	4	13	4be1a6d1538d925b984de5717cb09ef325b7575baec2f18fd6b69b4e1cfc61cc	080ba66de70a0837f4bcf3e2bb809204307ce602d602cc00caa403248544567a	f85eaa3e0b27e220ccdc655b10002bd67db9b9af9f29988a91c05dc6e2eed7fb	C0HOTripletonSet	d35a258e8bff7c0752ca3e3c11ce5b86dcfd1b03f9bfc6dd1411aaf39887d612
92	31	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S4	U03-0000000002_S04-0000000013	3	2	4	13	4be1a6d1538d925b984de5717cb09ef325b7575baec2f18fd6b69b4e1cfc61cc	080ba66de70a0837f4bcf3e2bb809204307ce602d602cc00caa403248544567a	f85eaa3e0b27e220ccdc655b10002bd67db9b9af9f29988a91c05dc6e2eed7fb	C0HORect2Set	726f98d987d8854fd292fe7274baf24a44e4a164c5d7890b1916a3bbde8a9879
93	31	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S4	U03-0000000002_S04-0000000013	3	2	4	13	4be1a6d1538d925b984de5717cb09ef325b7575baec2f18fd6b69b4e1cfc61cc	080ba66de70a0837f4bcf3e2bb809204307ce602d602cc00caa403248544567a	f85eaa3e0b27e220ccdc655b10002bd67db9b9af9f29988a91c05dc6e2eed7fb	C0Rect2Set	8f46043c8d44c54c973dd80bb4ef25ebd39c55fe2f5e898d4270398cee63d166
94	32	NO_SIGNED_CHART_CONTROL	NO_CHART_U3_S4	U03-0000000005_S04-0000000003	3	5	4	3	2710a0a526a62ecd4f86517baf2e6ff3c4017aa01f5980c44579cadf0d6354b7	1beef58c9ba954c187822b47873fda8044aee7eeac69fb31fa53fdf9b48e38a8	f4ef00f884ea5deed813e20c4794fe37eeaa6be858110915166329e8e20c94ca	C0HOTripletonSet	9d7bdd9ca7aeebbb8e54c6b9cd67afdc89fed62fe40a1aa38c342c673422cd58
