NODE_ID	WAVE_INDEX	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	RC	STDERR_SHA256	NORMALIZED_CLASS
U01-0000000001_S02-0000000003	3	1	1	2	3	6e47a82519f1d2c6afb2153f63bad57b3335b9f266c50609043137106cd05f7f	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U02-0000000000_S02-0000000000	4	2	0	2	0	e2adbd828b31364941bfb5523e6c3485f0a0c532b7bbaa7878a7798b9802c4ca	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000000_S02-0000000001	4	2	0	2	1	9df74f52d01c0da7c100c48e442248d67c5f09d34941bb790f0f7d7308af277f	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U02-0000000000_S02-0000000002	4	2	0	2	2	581d4ae1192e4a015635e337bd0752f0c96cb88eac3d39800f4cb88f286873f1	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000000_S02-0000000003	4	2	0	2	3	b4a4ea01a8e652b1db823ebe85f1aa104ab882c1d18705936298500a2f441192	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000001_S02-0000000000	4	2	1	2	0	eda219f3ac7470d2955aa4168865605c7e8e1c5423c3c17caaed710ca365252d	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000001_S02-0000000001	4	2	1	2	1	45a2cac01d920adf2b2ca61694f01fa2e88ac5727e25094502890a295cc9de7a	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000001_S02-0000000002	4	2	1	2	2	a6d4caf99030656fbfb3dbb394ecf181f5d452e36bf29ef015e4cfe7f9fea15a	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000001_S02-0000000003	4	2	1	2	3	a4a529bbd833d312d6fdadbd4050898596f86627fc2dde8aa03b8f72175d74b7	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000002_S02-0000000000	4	2	2	2	0	dabd66f7cb35d9a70248a5314ac3a3c9895e5f4b4a81ae0e5afc61a476b34c38	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000002_S02-0000000001	4	2	2	2	1	c71fe252722cb0fc379d6090ea6072bb82c8fb59fd78d9ad0d60daeafd102c0b	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000002_S02-0000000002	4	2	2	2	2	ebdb5a15ccda8fa8e79cd10b5f052be2a33cbd4025d1bd7c843b0dee7fc4d4ee	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000002_S02-0000000003	4	2	2	2	3	4ebcd3415b1319f8461b62c131977a142745fb1040af1c16a9cef5c54d63a2a5	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000003_S02-0000000000	4	2	3	2	0	72e8750dc79b0a3f122c851b3e5b75a33819493b180c27cf3db78267cdd63fa2	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U02-0000000003_S02-0000000001	4	2	3	2	1	80f2c15505f518d8f3275bf5ee97c34dc72b16d68d5e3856249965ea0dcffdf6	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000003_S02-0000000002	4	2	3	2	2	1bfeafb93a8d22e28ef6dd7a222f3798f47fbd2398e74f743ed12795aa9ae5bb	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000003_S02-0000000003	4	2	3	2	3	78ad03450ac057f3b0783ef66ea3ae5273a9fb074c3fed32736cfbaef6c22416	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000000_S03-0000000000	5	2	0	3	0	fe3cf860941572a77d0217355370903532292a0f1d080fdbed08a58b1c7e740a	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U02-0000000000_S03-0000000001	5	2	0	3	1	591001d7d24f8fb4303d76555e43b79eef76c26e77cabf85f035e5a2b0bc03bc	1	1a0363f0dfd1aef9f4b0f334290c01dddd6d044dd608721a86ce1cd42557cd4e	H_PG_CROSSING
U02-0000000000_S03-0000000002	5	2	0	3	2	75121d7879359654b35cc3a131d42f10299a2635770c94555b43c8bbe1f3bb43	1	6f7d2a59b10b80142c733adceb8618abd608995fae19efe87611f83a13deb918	H_PG_CAPD_SET
U02-0000000000_S03-0000000003	5	2	0	3	3	1b463e8a4ad4c68d0659e4decf0e6c232e6383e65a1997bc8193eba66e33a317	1	4444c761d2fc70990c673dcfdbc081d5d219bf4f5f14d1a7d753567beda3b0fd	H_PG_CAPD_SET
