file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
examples/conversational_ossm/o_ssm_memory.sio	1	3	-	-	-	-	both_fail
examples/conversational_ossm/o_ssm_core.sio	1	3	-	-	-	-	both_fail
examples/conversational_ossm/test_syntax.sio	0	3	0	-	-	-	nv2_compile
examples/zd_model_composition.sio	0	3	0	-	-	-	nv2_compile
tests/selfhost-driver-output/expr_sub_50_8.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/expr_mod_85_43.sio	0	3	42	-	-	-	nv2_compile
tests/selfhost-driver-output/ret_42.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/let_x_plus_2.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/if_lt_1_2_42_0.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/if_ne_1_2_42_0.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/two_prints.sio	0	0	0	0	1	1	ok
tests/selfhost-driver-output/let_first_second_plus_32.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/expr_add_7_35.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/let_x_42.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/println_hi.sio	0	3	0	-	-	-	nv2_compile
tests/selfhost-driver-output/expr_mul_6_7.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/if_eq_2_2_42_0.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/if_true_41_1.sio	0	0	41	41	1	1	ok
tests/selfhost-driver-output/let_xy_add.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/return_x_plus_2.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/let_three_bindings_chain.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/let_answer_10_plus_32.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/if_ge_2_2_42_0.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/let_x_10_plus_32.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/let_xy_y_is_x_plus_32.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/expr_div_84_2.sio	0	0	42	42	1	1	ok
tests/selfhost-driver-output/expr_sub_0_42.sio	0	0	214	214	1	1	ok
tests/selfhost-driver-output/print_boot.sio	0	0	0	0	1	1	ok
tests/native-v2/option_box_global_take_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/option_box_large_payload_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/string_table_helper_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/deref_struct_field_copy_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/large_struct_field_assignment_witness.sio	0	0	0	0	1	1	ok
tests/native-v2/option_box_expr_payload_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/aggregate_return_field_copy_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/imported_string_table_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/local_struct_option_box_expr_field_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/box_return_deref_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/irfunction_name_field_copy_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/native_compiler_data_field_assignment_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/large_value_legalize_boundary_witness.sio	0	3	0	-	-	-	nv2_compile
tests/native-v2/semantic_hardening/struct3_two_params.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/semantic_hardening/struct3_param.sio	0	0	0	0	trim	1	ok
tests/native-v2/semantic_hardening/struct3_return.sio	0	0	0	0	0	1	nv2_run
tests/native-v2/semantic_hardening/struct3_literal.sio	0	0	0	0	0	1	nv2_run
