LAYER	ATTEMPT_INDEX	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	CARRIER	LEGACY_CERTIFICATE_PASS	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS	STDOUT_SHA256
D4	41	U07-0000000097_S08-0000000164	21	C0HORect2Set	false	true	true	true	-0x1.f3c82b5c65614p-36	-0x1.f36afa2536ecp-36	-0x1.f3c82b5c65614p-36	-0x1.f36afa2536ecp-36	true	true	bcb2e6d3d0fca9d8bd667a403a7f7dfcbc723153b0ed55af996c6b2280c83828
D4	42	U07-0000000097_S08-0000000164	21	C0Rect2Set	false	true	true	true	-0x1.f3c83f25a263dp-36	-0x1.f36ae65f446f8p-36	-0x1.f3c83f25a263dp-36	-0x1.f36ae65f446f8p-36	true	true	f34cf20ecdbc08d9ad8df4b53b48ce57c6d1142b40061cb109f1389f463f603a
D4	43	U07-0000000097_S08-0000000165	22	C0HORect2Set	false	true	true	true	-0x1.f3abe72f2ccfbp-36	-0x1.f34eb9d991acdp-36	-0x1.f3abe72f2ccfbp-36	-0x1.f34eb9d991acdp-36	true	true	5fb5046003b949e3a0abdeb5253c956a94f63c541338f7ad4958353424297d82
D4	44	U07-0000000097_S08-0000000165	22	C0Rect2Set	false	true	true	true	-0x1.f3abfaf7cf38ep-36	-0x1.f34ea61437a1bp-36	-0x1.f3abfaf7cf38ep-36	-0x1.f34ea61437a1bp-36	true	true	8cf9bb758834037cabd288b6544df1b1485d741cc496d740ec8aaf4603655b3e
D4	45	U07-0000000097_S08-0000000166	23	C0HORect2Set	false	true	true	true	-0x1.f38fa3ceed395p-36	-0x1.f3327a5977647p-36	-0x1.f38fa3ceed395p-36	-0x1.f3327a5977647p-36	true	true	e781d9c83a8e4eb92fb53a9aedf8cd40d0a6fa497c36d388f891c79a535eb453
D4	46	U07-0000000097_S08-0000000166	23	C0Rect2Set	false	true	true	true	-0x1.f38fb796ffc66p-36	-0x1.f3326694af2b7p-36	-0x1.f38fb796ffc66p-36	-0x1.f3326694af2b7p-36	true	true	d202aa7183c487f05b24aefd92f4c5bd5a2adf8407fc63e3bff1b72e3d75af7d
D4	47	U07-0000000097_S08-0000000167	24	C0HORect2Set	false	true	true	true	-0x1.f373613ad0eb8p-36	-0x1.f3163ba5ba35cp-36	-0x1.f373613ad0eb8p-36	-0x1.f3163ba5ba35cp-36	true	true	d73b7e669f45aa6cde96d9c4033b0c8ccf69acb8ea5a9e60cad175286b0dd6b7
D4	48	U07-0000000097_S08-0000000167	24	C0Rect2Set	false	true	true	true	-0x1.f3737502835c6p-36	-0x1.f31627e151212p-36	-0x1.f3737502835c6p-36	-0x1.f31627e151212p-36	true	true	c0e6719b842c559c19558f38c5dfb5f1f0401f64a8a32d2080e88daded678c38
D4	49	U07-0000000097_S08-0000000168	25	C0HORect2Set	false	true	true	true	-0x1.f3571f731eeaep-36	-0x1.f2f9fdbe04571p-36	-0x1.f3571f731eeaep-36	-0x1.f2f9fdbe04571p-36	true	true	57ddfc299a81d839a931c12914de7bb2552ff1a2dc13d260ccb2097873ebbc8a
D4	50	U07-0000000097_S08-0000000168	25	C0Rect2Set	false	true	true	true	-0x1.f357333a519b9p-36	-0x1.f2f9e9fa1bf62p-36	-0x1.f357333a519b9p-36	-0x1.f2f9e9fa1bf62p-36	true	true	0df1de9123871f3e57e0a7cf1b67b01bcc9f6c699cafbd7df80dd61651c471f3
D4	51	U07-0000000097_S08-0000000169	26	C0HORect2Set	false	true	true	true	-0x1.f33ade7775629p-36	-0x1.f2ddc0a2b250ap-36	-0x1.f33ade7775629p-36	-0x1.f2ddc0a2b250ap-36	true	true	ca55d7a0ab3775254bc3973dc7888a1752a7620c65245dfef7da769b0dc3a0e6
D4	52	U07-0000000097_S08-0000000169	26	C0Rect2Set	false	true	true	true	-0x1.f33af23e60174p-36	-0x1.f2ddacdf102c4p-36	-0x1.f33af23e60174p-36	-0x1.f2ddacdf102c4p-36	true	true	aae414f248379481db615155e1adc19b06b798703d389da0c46cf154d2ee88d4
D4	53	U07-0000000097_S08-0000000170	27	C0HORect2Set	false	true	true	true	-0x1.f31e9e4898d08p-36	-0x1.f2c18452f0ad9p-36	-0x1.f31e9e4898d08p-36	-0x1.f2c18452f0ad9p-36	true	true	acf127a586cc933de730c4117b7d45ba5c0af0f56500919927544e364543aa6d
D4	54	U07-0000000097_S08-0000000170	27	C0Rect2Set	false	true	true	true	-0x1.f31eb20ece60bp-36	-0x1.f2c1709003dc6p-36	-0x1.f31eb20ece60bp-36	-0x1.f2c1709003dc6p-36	true	true	8dc24cb541db39697dfe9d3b9d52b95481c0064f5c3bdcdf03b598abdcee1658
D4	55	U07-0000000097_S08-0000000171	28	C0HORect2Set	false	true	true	true	-0x1.f3025ee576b4dp-36	-0x1.f2a548cfc9ec8p-36	-0x1.f3025ee576b4dp-36	-0x1.f2a548cfc9ec8p-36	true	true	84dc42c312caa9c7370fd1428418046f2e5ef7404b132ab7f02727f601d3e4f5
D4	56	U07-0000000097_S08-0000000171	28	C0Rect2Set	false	true	true	true	-0x1.f30272aba529cp-36	-0x1.f2a5350ce4197p-36	-0x1.f30272aba529cp-36	-0x1.f2a5350ce4197p-36	true	true	018d9ff7a76f5601b6ee6da4f1f21c95feba96ef9adb9eec3a1820e33f6086da
D4	57	U07-0000000097_S08-0000000172	29	C0HORect2Set	false	true	true	true	-0x1.f2e6204efbaf6p-36	-0x1.f2890e1846f36p-36	-0x1.f2e6204efbaf6p-36	-0x1.f2890e1846f36p-36	true	true	bc5b5eb26342bd0758136a0c57b522eae234226a43669dd0ff4bc381ebd158cc
D4	58	U07-0000000097_S08-0000000172	29	C0Rect2Set	false	true	true	true	-0x1.f2e6340d16aaap-36	-0x1.f288fa5db522fp-36	-0x1.f2e6340d16aaap-36	-0x1.f288fa5db522fp-36	true	true	0b9d15653b44fe16e7e5fe1b7cc7a949e78e25163e762a74bb49a9e98a81d1aa
D4	59	U07-0000000097_S08-0000000173	30	C0HORect2Set	false	true	true	true	-0x1.f2c9e27d755dep-36	-0x1.f26cd43450fecp-36	-0x1.f2c9e27d755dep-36	-0x1.f26cd43450fecp-36	true	true	36ae839c049c4c65f9270193448926d73e93f53c96fe5f174922ea042f823de6
D4	60	U07-0000000097_S08-0000000173	30	C0Rect2Set	false	true	true	true	-0x1.f2c9f64254be3p-36	-0x1.f26cc072bb3fap-36	-0x1.f2c9f64254be3p-36	-0x1.f26cc072bb3fap-36	true	true	74e579245f0532980278a820b7c11c5477091d5d6ab0235d442338f037dd8459
D4	61	U07-0000000097_S08-0000000174	31	C0HORect2Set	false	true	true	true	-0x1.f2ada57f0869cp-36	-0x1.f2509b153939ep-36	-0x1.f2ada57f0869cp-36	-0x1.f2509b153939ep-36	true	true	f4ab0809ce86b143af6e07e51ce926187f2c47216774f9db3e6ed424bb5076c5
D4	62	U07-0000000097_S08-0000000174	31	C0Rect2Set	false	true	true	true	-0x1.f2adb943bae9bp-36	-0x1.f2508753d0947p-36	-0x1.f2adb943bae9bp-36	-0x1.f2508753d0947p-36	true	true	0b8edddef72f74177d5fcad0f6a48b9abf2481b3577438de6e9f3ebc56a1b5da
D4	63	U07-0000000097_S08-0000000175	32	C0HORect2Set	false	true	true	true	-0x1.f291694da2d61p-36	-0x1.f23462c148b77p-36	-0x1.f291694da2d61p-36	-0x1.f23462c148b77p-36	true	true	8ac56954f52b6240e484e05a058813bfc691a341e5e0335c1f81de2f326f100c
D4	64	U07-0000000097_S08-0000000175	32	C0Rect2Set	false	true	true	true	-0x1.f2917d1149cc4p-36	-0x1.f2344f00ea546p-36	-0x1.f2917d1149cc4p-36	-0x1.f2344f00ea546p-36	true	true	c4adf153df497846a2efbdf1243afef64e11bb82a533466941e30877d9f7525a
D4	65	U07-0000000098_S08-0000000160	33	C0HORect2Set	false	true	true	true	-0x1.f435b087dec5ep-36	-0x1.f3d8700bf5376p-36	-0x1.f435b087dec5ep-36	-0x1.f3d8700bf5376p-36	true	true	5a215e470f37d9901ceee264d0ae04be0faf04fef5f4edede04f8b7c43c48ba7
D4	66	U07-0000000098_S08-0000000160	33	C0Rect2Set	false	true	true	true	-0x1.f435c452a8b52p-36	-0x1.f3d85c447552dp-36	-0x1.f435c452a8b52p-36	-0x1.f3d85c447552dp-36	true	true	98a2e435dd9531714619f2041f8e3343ab5b6888d79f913968fc3f007d8239fc
D4	67	U07-0000000098_S08-0000000161	34	C0HORect2Set	false	true	true	true	-0x1.f419694f47f39p-36	-0x1.f3bc2cb4b3af3p-36	-0x1.f419694f47f39p-36	-0x1.f3bc2cb4b3af3p-36	true	true	33e7fca36cb4172ae40b0b7a1fde79eaa33c433cd4529b4c3901b9ab8d1391d9
D4	68	U07-0000000098_S08-0000000161	34	C0Rect2Set	false	true	true	true	-0x1.f4197d19c4ce4p-36	-0x1.f3bc18ed8089bp-36	-0x1.f4197d19c4ce4p-36	-0x1.f3bc18ed8089bp-36	true	true	945766c1576cf7d7ba6fd66c4e908c4f13b815e71abe58e7d123dec9be76e6f7
D4	69	U07-0000000098_S08-0000000162	35	C0HORect2Set	false	true	true	true	-0x1.f3fd22e31a07fp-36	-0x1.f39fea29ba0d2p-36	-0x1.f3fd22e31a07fp-36	-0x1.f39fea29ba0d2p-36	true	true	fbfc427d380dca51f5aaebe91374ca821a7416c35f4cc05d469b3288179fe9ab
D4	70	U07-0000000098_S08-0000000162	35	C0Rect2Set	false	true	true	true	-0x1.f3fd36ad4b141p-36	-0x1.f39fd662d256ep-36	-0x1.f3fd36ad4b141p-36	-0x1.f39fd662d256ep-36	true	true	36b36da1bf17c01a0e7608899b1115e5efdfd7c0237b2acaff95ed08d86e3a80
D4	71	U07-0000000098_S08-0000000163	36	C0HORect2Set	false	true	true	true	-0x1.f3e0dd43a9f6bp-36	-0x1.f383a86aa7ccbp-36	-0x1.f3e0dd43a9f6bp-36	-0x1.f383a86aa7ccbp-36	true	true	32fe20799fd39420ef3402fab1c5b5dc143edc91aae4b56693d95dece3723d3e
D4	72	U07-0000000098_S08-0000000163	36	C0Rect2Set	false	true	true	true	-0x1.f3e0f10d37e5dp-36	-0x1.f38394a463cb7p-36	-0x1.f3e0f10d37e5dp-36	-0x1.f38394a463cb7p-36	true	true	38e6dac0b93163bb375edb7b08d1509d087e694cfffd24bbc22aaa97b6bfc482
D4	73	U07-0000000098_S08-0000000164	37	C0HORect2Set	false	true	true	true	-0x1.f3c49870357b4p-36	-0x1.f367677835d15p-36	-0x1.f3c49870357b4p-36	-0x1.f367677835d15p-36	true	true	6d1e0cc0025a033851bf40824d7e8701d302ce7838b2ea5162cfbf033db627fb
D4	74	U07-0000000098_S08-0000000164	37	C0Rect2Set	false	true	true	true	-0x1.f3c4ac3981cd3p-36	-0x1.f36753b233d73p-36	-0x1.f3c4ac3981cd3p-36	-0x1.f36753b233d73p-36	true	true	c6bf3f06b124af98f1d3317b3ad21b8cee5ca2a2384f1a88b4e653444c918eff
D4	75	U07-0000000098_S08-0000000165	38	C0HORect2Set	false	true	true	true	-0x1.f3a85468fb02p-36	-0x1.f34b27521dd3bp-36	-0x1.f3a85468fb02p-36	-0x1.f34b27521dd3bp-36	true	true	e93884a6104790d5946f07330d30e50c2e233a51c8f9f905fb1eb591069dd164
D4	76	U07-0000000098_S08-0000000165	38	C0Rect2Set	false	true	true	true	-0x1.f3a868316d8c8p-36	-0x1.f34b138cf3b45p-36	-0x1.f3a868316d8c8p-36	-0x1.f34b138cf3b45p-36	true	true	1f1d6dfccfaa59f468923c8ca865e50f222887733a7bdc0cc8a7eca781b5838a
D4	77	U07-0000000098_S08-0000000166	39	C0HORect2Set	false	true	true	true	-0x1.f38c112e90082p-36	-0x1.f32ee7f7bb606p-36	-0x1.f38c112e90082p-36	-0x1.f32ee7f7bb606p-36	true	true	78a3dc4c024f56549b012b1e883a8848af1f7863f20d4b490c40dc0742a3a2b8
D4	78	U07-0000000098_S08-0000000166	39	C0Rect2Set	false	true	true	true	-0x1.f38c24f662ffcp-36	-0x1.f32ed43331ddep-36	-0x1.f38c24f662ffcp-36	-0x1.f32ed43331ddep-36	true	true	c8a0d6ceaa2283393c26c8e5deba52d05c5ccef4c2c4c4329c0da52af4e92369
